,Unnamed: 0,Name,Reign,Date,Belt,DOB,Horoscope,Defeated,Defeated_Horoscope,Love_Percentage
36,36,The Undertaker,3,23-May-99,WWE Championship,24/03,Aries,Steve Austin,Sagittarius,All the best!
37,37,Triple H,1,23-Aug-99,WWE Championship,27/07,Leo,Mankind,Gemini,Can choose someone better.
38,38,Vince McMahon,1,14-Sep-99,WWE Championship,24/08,Virgo,Triple H,Leo,All the best!
39,39,The Rock,4,30-Apr-00,WWE Championship,02/05,Taurus,Triple H,Leo,Can choose someone better.
40,40,Triple H,4,21-May-00,WWE Championship,27/07,Leo,The Rock,Taurus,Can choose someone better.
41,41,Kurt Angle,1,22-Oct-00,WWE Championship,09/12,Sagittarius,The Rock,Taurus,Not a good choice.
42,42,The Rock,6,25-Feb-01,WWE Championship,02/05,Taurus,Kurt Angle,Sagittarius,Not a good choice.
43,43,Kurt Angle,2,23-Sep-01,WWE Championship,09/12,Sagittarius,Steve Austin,Sagittarius,All the best!
44,44,Chris Jericho,1,9-Dec-01,WWE Championship,09/11,Scorpio,Steve Austin,Sagittarius,Can choose someone better.
45,45,Triple H,5,17-Mar-02,WWE Championship,27/07,Leo,Chris Jericho,Scorpio,Can choose someone better.
46,46,The Undertaker,4,19-May-02,WWE Championship,24/03,Aries,Hulk Hogan,Leo,Not a good choice.
47,47,Brock Lesnar,1,25-Aug-02,WWE Championship,12/07,Cancer,The Rock,Taurus,Not a good choice.
48,48,Brock Lesnar,2,30-Mar-03,WWE Championship,12/07,Cancer,Kurt Angle,Sagittarius,Not a good choice.
49,49,Brock Lesnar,3,16-Sep-03,WWE Championship,12/07,Cancer,Kurt Angle,Sagittarius,Not a good choice.
50,50,Eddie Guerrero,1,15-Feb-04,WWE Championship,09/10,Libra,Brock Lesnar,Cancer,All the best!
51,51,Edge,1,8-Jan-06,WWE Championship,30/10,Scorpio,John Cena,Taurus,Can choose someone better.
52,52,John Cena,2,29-Jan-06,WWE Championship,23/04,Taurus,Edge,Scorpio,Can choose someone better.
53,53,Rob Van Dam,1,11-Jun-06,WWE Championship,18/12,Sagittarius,John Cena,Taurus,May be better next time.
54,54,John Cena,3,17-Sep-06,WWE Championship,23/04,Taurus,Edge,Scorpio,Can choose someone better.
55,55,Triple H,6,7-Oct-07,WWE Championship,27/07,Leo,Randy Orton,Aries,Can choose someone better.
56,56,Randy Orton,2,7-Oct-07,WWE Championship,01/04,Aries,Triple H,Leo,Can choose someone better.
57,57,John Cena,4,13-Sep-09,WWE Championship,23/04,Taurus,Randy Orton,Aries,Not a good choice.
58,58,Randy Orton,5,4-Oct-09,WWE Championship,01/04,Aries,John Cena,Taurus,Not a good choice.
59,59,John Cena,5,25-Oct-09,WWE Championship,23/04,Taurus,Randy Orton,Aries,Not a good choice.
60,60,Sheamus,1,13-Dec-09,WWE Championship,28/01,Aquarius,John Cena,Taurus,All the best!
61,61,The Miz,1,22-Nov-10,WWE Championship,08/10,Libra,Randy Orton,Aries,Not a good choice.
62,62,CM Punk,1,17-Jul-11,WWE Championship,26/10,Scorpio,John Cena,Taurus,May be better next time.
63,63,Rey Mysterio,1,25-Jul-11,WWE Championship,11/12,Sagittarius,The Miz,Libra,Can choose someone better.
64,64,John Cena,9,25-Jul-11,WWE Championship,23/04,Taurus,Rey Mysterio,Sagittarius,Not a good choice.
65,65,CM Punk,1,14-Aug-11,WWE Championship,26/10,Scorpio,John Cena,Taurus,May be better next time.
66,66,CM Punk,2,20-Nov-11,WWE Championship,26/10,Scorpio,John Cena,Taurus,May be better next time.
67,67,Ric Flair,2,9-Apr-78,WWE United States Championship,25/02,Pisces,Randy Savage,Scorpio,Not a good choice.
68,68,Steve Austin,1,27-Dec-93,WWE United States Championship,18/12,Sagittarius,Shawn Michaels,Cancer,All the best!
69,69,Steve Austin,2,18-Sep-94,WWE United States Championship,18/12,Sagittarius,Kane,Taurus,All the best!
70,70,Eddie Guerrero,1,29-Dec-96,WWE United States Championship,09/10,Libra,Brock Lesnar,Cancer,All the best!
71,71,Bret Hart,1,20-Jul-98,WWE United States Championship,02/07,Cancer,Ric Flair,Pisces,Not a good choice.
72,72,Bret Hart,2,13-Aug-98,WWE United States Championship,02/07,Cancer,Yokozuna,Libra,All the best!
73,73,Bret Hart,3,30-Nov-98,WWE United States Championship,02/07,Cancer,Diesel,Cancer,All the best!
74,74,Kurt Angle,1,22-Oct-01,WWE United States Championship,09/12,Sagittarius,The Rock,Taurus,Not a good choice.
75,75,Edge,1,12-Nov-01,WWE United States Championship,30/10,Scorpio,John Cena,Taurus,Can choose someone better.
76,76,John Cena,2,3-Oct-04,WWE United States Championship,23/04,Taurus,Edge,Scorpio,Can choose someone better.
77,77,John Cena,3,16-Nov-04,WWE United States Championship,23/04,Taurus,Edge,Scorpio,Can choose someone better.
78,78,The Miz,1,5-Oct-09,WWE United States Championship,08/10,Libra,Randy Orton,Aries,Not a good choice.
79,79,Bret Hart,5,17-May-10,WWE United States Championship,02/07,Cancer,The Undertaker,Aries,Can choose someone better.
80,80,Sheamus,1,14-Mar-11,WWE United States Championship,28/01,Aquarius,John Cena,Taurus,All the best!
81,81,John Cena,4,29-Mar-15,WWE United States Championship,23/04,Taurus,Randy Orton,Aries,Not a good choice.
82,82,John Cena,5,20-Sep-15,WWE United States Championship,23/04,Taurus,Randy Orton,Aries,Not a good choice.
83,83,Chris Jericho,1,9-Jan-17,WWE United States Championship,09/11,Scorpio,Steve Austin,Sagittarius,Can choose someone better.
84,84,Rey Mysterio,1,19-May-19,WWE United States Championship,11/12,Sagittarius,The Miz,Libra,Can choose someone better.
